Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
340939.9200606251,340147.5954231734,337634.3652766186,341495.67383476184,336953.0841056209,333195.3088277947,340015.0942820423,342227.3805412508
340970.49724704,340151.35051624186,337640.26613715483,341506.93911396735,336989.025710705,333195.3088277947,340014.5578401754,342225.2347737831
340943.13871182664,340144.91321383876,337642.41190462257,341508.0119977012,336963.8129429594,333199.6003627301,340025.82311938086,342230.5991924524
340954.40399103216,340145.44965570566,337636.51104408636,341517.131509439,336980.97908270115,333204.96478139935,340033.33330551785,342232.74495992006
527343.8128642814,1130328.0747327895,708439.6133946913,-135349.6474444446,3802211.439873152,3380265.5792552927,-3651044.267540487,3661562.8196671987
340983.3718518462,340165.298004782,337647.7763232918,341502.64757903194,336977.76043149957,333217.8393862056,340034.94263111864,342234.35428552085
340838.53254777583,340179.78193518904,337638.6568115541,341497.8196022296,336996.535896842,333220.5215955403,340030.1146543163,342230.06275058544
341049.8906433452,340181.3912607898,337641.3390208887,341511.23064890277,336980.97908270115,333218.37582807255,340023.14091004623,342225.2347737831
341048.81775961135,340178.7090514552,337644.5576720903,341505.86623023346,336983.6612920358,333215.6936187379,340028.5053287155,342229.5263087185
341025.21431746654,340172.808190919,337667.62467236817,341535.3705329145,336962.20361735864,333215.6936187379,340055.3274220619,342235.96361112164
341038.62536413973,340170.66242345126,337673.5255329044,341555.7553238577,336975.61466403183,333217.8393862056,340049.9630033926,342240.25514605705
341003.2202009225,340180.8548189229,337675.13485850516,341517.66795130586,336959.521408024,333228.56822354416,340063.37405006576,342235.4271692547
341020.9227825311,340179.78193518904,337666.5517886343,341540.7349515838,336969.17736162874,333232.8597584796,340055.3274220619,342246.15600659326
341047.20843401056,340184.07347012445,337665.47890490043,341533.2247654468,336985.80705950345,333229.1046654111,340046.74435219105,342243.47379725863
341055.2550620145,340184.07347012445,337654.7500675619,341525.17813744285,337004.046082979,333230.17754914495,340052.64521272725,342259.56705326645
341066.52034121996,340186.21923759213,337654.7500675619,341550.39090518845,337013.7020365837,333228.56822354416,340072.49356180354,342264.9314719357
341028.96941053506,340195.87519119686,337653.14074196114,341539.6620678499,336987.9528269712,333236.6148515481,340076.24865487206,342267.61368127033
341063.83813188534,340193.19298186223,337647.23988142493,341539.6620678499,337013.7020365837,333232.3233166127,340090.7325852791,342271.36877433886
341051.499968946,340191.58365626144,337650.45853262645,341548.78157958767,337001.9003155113,333239.29706088273,340088.58681781136,342278.87896047585
341039.6982478736,340201.2396098661,337675.13485850516,341563.80195186165,336978.29687336646,333241.97927021736,340090.19614341215,342282.09761167737
275.7311196006679,3828187.564395376,3772534.939352863,3611756.874532327,3860562.9039481767,3568223.5441474374,3327039.280776892,3766973.11007656
341037.5524804059,340193.19298186223,337681.03571904136,341589.55116147414,336991.70792003965,333237.151293415,340095.0241202145,342294.9722164837
342773.47836178285,282582.0186831974,4114610.506845773,1934912.5546112724,-1088509.7489964664,2708347.4646028834,-209636.11717654672,-3690078.459987457
341037.01603853895,340195.87519119686,337678.8899515736,341586.33251027256,337008.3376179144,333237.68773528194,340104.6800738192,342300.3366351529
341039.1618060067,340204.99470293464,337687.47302144446,341591.1604870749,336999.7545480436,333255.39031689055,340105.752957553,342305.1646119553
341074.5669692239,340204.4582610677,337693.9103238476,341587.94183587335,337030.86817632534,333239.29706088273,340089.6597015452,342304.62817008834
